,actor_list,audiance,director_list,duration,genres,name,open_day,story_header,watch_grade,troll,image,actors
49,유해진|이성경|나문희|성동일|진경|황우슬혜|김태훈|박규영|이한서|최유화|이예원|이배|이미경|배수현|이윤호|이주한|김진철|김태윤|김태훈|김희원|박성범|정혜경|김민재|김명희|한경미|김민혜,765736,김대웅,109.0,"[2, 7]",레슬러,20180509,,15세이상관람가,128,https://movie-phinf.pstatic.net/20180430_206/1525051757819QHWi9_JPEG/movie_image.jpg,"[62, 64, 103, 52, 63]"
50,임슬옹|경수진|박정민|홍은희|차지연|김수안|정용진|이재인,70661,민규동|김곡|백승빈|김선,93.0,[0],무서운 이야기 3 : 화성에서 온 소녀,20160601,,15세이상관람가,128,https://movie-phinf.pstatic.net/20160517_223/1463466235482mTgbp_JPEG/movie_image.jpg,"[115, 116, 117, 118, 119, 95]"
51,하정우|이선균|제니퍼 엘|이상원,1665200,김병우,124.0,[4],PMC: 더 벙커,20181226,"“전쟁도 비즈니스다”
글로벌 군사기업 PMC, 미션 스타트!",15세이상관람가,127,https://movie-phinf.pstatic.net/20181205_284/1543974277191S4IrC_JPEG/movie_image.jpg,"[24, 6]"
52,이시영|박세완|이준혁|최진호,172338,임경택,93.0,[4],언니,20190101,,청소년관람불가,125,https://movie-phinf.pstatic.net/20181231_89/1546223246597LMiMi_JPEG/movie_image.jpg,"[25, 26, 27, 28]"
53,이민기|김고은|안서현|윤진하|박병은|김뢰하|김부선|이현빈|이현우|손종규|전종석|정수환|차국빈|이도연|최대웅|최성겸|허준석|이용희|남경읍|김선영|배성우|유재명|조복래,522199,황인호,113.0,[10],몬스터,20140313,,청소년관람불가,125,https://movie-phinf.pstatic.net/20140214_80/1392341850867mN5nJ_JPEG/movie_image.jpg,"[181, 156, 182]"
54,강동원|이연희|공효진|채호기|이세련|서동수,403405,이명세,110.0,"[5, 18, 10]",엠,20071025,내가 사랑한 당신의 이름 (M) | 당신의 첫사랑이 돌아온다 | 내가 사랑한 당신의 이름 | 나는 나중에... 당신이 아주 많이 많이 슬퍼했으면 좋겠어 | 그냥... 사랑한다고 말해줄 순 없니?,15세이상관람가,124,https://movie-phinf.pstatic.net/20111223_172/1324575440195Kmuqi_JPEG/movie_image.jpg,"[56, 319, 21]"
55,주원|유해진|이유영|류혜영|서현우|이준혁|윤석진|김민서|김현정|박지윤|장인섭|윤다경|진용욱|오희준|이현정,1031496,윤준형,108.0,[10],그놈이다,20151028,천만 네티즌을 사로잡은 2004년 최강(^0^) | 내 입술 부빈 뇬... 책.임.져.,15세이상관람가,122,https://movie-phinf.pstatic.net/20111222_163/1324559848396wC4gx_JPEG/movie_image.jpg,"[168, 62, 27]"
56,마동석|조한선|김민경|지안|이정원|최선주|하태웅,252429,권형진,96.0,"[10, 12]",함정,20150910,"SNS의 확인되지 않은 그 곳, 어디까지 믿으십니까?",청소년관람불가,122,https://movie-phinf.pstatic.net/20150831_44/1440987148013oL7wO_JPEG/movie_image.jpg,"[31, 140, 141, 142]"
57,임창정|최다니엘|임은경|장광|이경영|문제영|정한비|박영진|임정아|박일우|정형석|조원재|서동수|서진원|이응준|안현준|최병모|방은희|반민정|한주영|전소니,339763,신동엽,103.0,[4],치외법권,20150827,"대한민국 1, 2위를 다투는 자타공인 또라이들이 만났다!",15세이상관람가,121,https://movie-phinf.pstatic.net/20150812_96/1439366478456HQL3c_JPEG/movie_image.jpg,"[143, 144, 7]"
58,강하늘|김소은|김정태|한혜린|박두식|이아현|서경배|임미라|임승현|전성혁|전소연|정윤선|권용진|이상헌|이슬아|이승민|이승현|이정철|김상혁|김영미|김욱|김유영|박선호|김재화|이동훈|박충선|주민하|이봄,479275,오인천,90.0,"[5, 0]",소녀괴담,20140702,모두가 알지만 아무도 말하지 않는 비밀…!,15세이상관람가,120,https://movie-phinf.pstatic.net/20140602_134/1401670128418TjOnM_JPEG/movie_image.jpg,"[178, 179]"
59,에릭 벌포|스카티 톰슨|토니 블랙|브리타니 다니엘|크리스탈 리드|닐 홉킨스|데이빗 제야스,856053,콜린 스트로즈|그렉 스트로즈,93.0,"[4, 10, 9]",스카이 라인,20101124,<아바타> <2012> 제작진의 초대형 블록버스터,12세이상관람가,120,https://movie-phinf.pstatic.net/20111223_229/13246270770373QcFh_JPEG/movie_image.jpg,"[240, 241]"
60,마동석|김새론|이상엽|진선규|장광|신세휘|오희준|배진아|이광기|이상훈|이태규|김지은|안성일|양기원|강민준|김다영|김대현|김동환|최정현|최혜진|김새벽|김송이|김수영,445625,임진순,99.0,"[4, 10]",동네사람들,20181107,,15세이상관람가,119,https://movie-phinf.pstatic.net/20181109_35/15417456367899cdGU_JPEG/movie_image.jpg,"[31, 32]"
61,진구|한혜진|임슬옹|배수빈|이경영|장광|천우희|이현걸|전종석|정광재|지성용|김병오|이상훈|이경영|정현진|이미도|조덕제|김의성|김도윤|김태준,2874554,조근현,135.0,"[4, 2]",26년,20121129,"1980년 5월.. 그리고 26년 후
학살의 주범 ‘그 사람’을 단죄하라!",15세이상관람가,119,https://movie-phinf.pstatic.net/20121105_88/1352083721604Kzds7_JPEG/movie_image.jpg,"[204, 205, 115, 11, 79]"
