id,name,audiance,open_day,duration,genres,image,watch_grade,actors
138,신은 죽지 않았다 3: 어둠 속의 빛,63047,20180719,104,[2],https://movie-phinf.pstatic.net/20180612_194/1528767277354DKz2r_JPEG/movie_image.jpg,12,"[865, 165, 762]"
139,호텔 아르테미스,64950,20180718,93,"[4, 12]",https://movie-phinf.pstatic.net/20180719_126/1531964488288QP3K8_JPEG/movie_image.jpg,15,"[179, 315, 1144, 253, 796, 627]"
140,속닥속닥,212507,20180713,91,"[0, 5]",https://movie-phinf.pstatic.net/20180629_212/1530238766406QjNNY_JPEG/movie_image.jpg,15,"[803, 30, 1456, 1037, 1016]"
141,미드나잇 선,306647,20180621,91,[18],https://movie-phinf.pstatic.net/20180529_190/15275599752664JquA_JPEG/movie_image.jpg,12,"[703, 3, 47]"
142,변산,480256,20180704,122,[2],https://movie-phinf.pstatic.net/20180611_288/1528681584312lhsSF_JPEG/movie_image.jpg,15,"[1261, 126, 1116, 943, 1387, 484, 754]"
143,탐정: 리턴즈,3132986,20180613,116,"[7, 12]",https://movie-phinf.pstatic.net/20180525_232/15272144254888eehd_JPEG/movie_image.jpg,15,"[538, 86, 69, 501, 588, 916, 497, 501, 497]"
144,허스토리,310759,20180627,120,[2],https://movie-phinf.pstatic.net/20180618_223/1529289387860nUBT1_JPEG/movie_image.jpg,12,"[223, 142, 1028, 1284, 252, 930, 90, 1284]"
145,빅샤크: 매직체인지,124908,20180627,73,[20],https://movie-phinf.pstatic.net/20180525_88/15272129850861mL0W_JPEG/movie_image.jpg,0,"[1458, 1021, 286, 1078, 500]"
146,"오늘 밤, 로맨스 극장에서",24419,20180711,108,"[6, 18]",https://movie-phinf.pstatic.net/20180611_153/15286846194454nqgC_JPEG/movie_image.jpg,0,"[437, 460]"
147,쥬라기 월드: 폴른 킹덤,5644952,20180606,127,"[4, 8, 9]",https://movie-phinf.pstatic.net/20180814_31/1534222196427nyBw8_JPEG/movie_image.jpg,12,"[1239, 361, 796, 1237, 1140, 914]"
